"Step","train_final_t_d15_t50_dt2_alpha0.3307_250813_145046 - val_log_acc","train_final_t_d15_t50_dt2_alpha0.3307_250813_145046 - val_log_acc__MIN","train_final_t_d15_t50_dt2_alpha0.3307_250813_145046 - val_log_acc__MAX","train_final_t_d15_t50_dt2_alpha0.1653_250813_133742 - val_log_acc","train_final_t_d15_t50_dt2_alpha0.1653_250813_133742 - val_log_acc__MIN","train_final_t_d15_t50_dt2_alpha0.1653_250813_133742 - val_log_acc__MAX","train_final_t_d15_t50_dt2_alpha0.0_250813_131850 - val_log_acc","train_final_t_d15_t50_dt2_alpha0.0_250813_131850 - val_log_acc__MIN","train_final_t_d15_t50_dt2_alpha0.0_250813_131850 - val_log_acc__MAX"
"0","0.89706","0.89706","0.89706","0.90094","0.90094","0.90094","0.80646","0.80646","0.80646"
"1","0.92535","0.92535","0.92535","0.93233","0.93233","0.93233","0.92191","0.92191","0.92191"
"2","0.9333","0.9333","0.9333","0.94361","0.94361","0.94361","0.93855","0.93855","0.93855"
"3","0.93734","0.93734","0.93734","0.94871","0.94871","0.94871","0.94568","0.94568","0.94568"
"4","0.93962","0.93962","0.93962","0.94971","0.94971","0.94971","0.95001","0.95001","0.95001"
"5","0.94149","0.94149","0.94149","0.95276","0.95276","0.95276","0.95294","0.95294","0.95294"
"6","0.94272","0.94272","0.94272","0.95481","0.95481","0.95481","0.95567","0.95567","0.95567"
"7","0.94327","0.94327","0.94327","0.95571","0.95571","0.95571","0.95702","0.95702","0.95702"
"8","0.94704","0.94704","0.94704","0.95672","0.95672","0.95672","0.95856","0.95856","0.95856"
"9","0.95025","0.95025","0.95025","0.95745","0.95745","0.95745","0.95964","0.95964","0.95964"
"10","0.95049","0.95049","0.95049","0.95831","0.95831","0.95831","0.96019","0.96019","0.96019"
"11","0.95333","0.95333","0.95333","0.96059","0.96059","0.96059","0.96086","0.96086","0.96086"
"12","0.95517","0.95517","0.95517","0.96052","0.96052","0.96052","0.96143","0.96143","0.96143"
"13","0.9581","0.9581","0.9581","0.96148","0.96148","0.96148","0.96218","0.96218","0.96218"
"14","0.95969","0.95969","0.95969","0.96313","0.96313","0.96313","0.9623","0.9623","0.9623"
"15","0.9611","0.9611","0.9611","0.96435","0.96435","0.96435","0.96301","0.96301","0.96301"
"16","0.96539","0.96539","0.96539","0.96488","0.96488","0.96488","0.96326","0.96326","0.96326"
"17","0.96743","0.96743","0.96743","0.96624","0.96624","0.96624","0.96293","0.96293","0.96293"
"18","0.97057","0.97057","0.97057","0.96643","0.96643","0.96643","0.96324","0.96324","0.96324"
"19","0.97271","0.97271","0.97271","0.96672","0.96672","0.96672","0.96358","0.96358","0.96358"
"20","0.97512","0.97512","0.97512","0.97145","0.97145","0.97145","0.96455","0.96455","0.96455"
"21","0.97645","0.97645","0.97645","0.97093","0.97093","0.97093","0.96455","0.96455","0.96455"
"22","0.97904","0.97904","0.97904","0.97184","0.97184","0.97184","0.965","0.965","0.965"
"23","0.97737","0.97737","0.97737","0.97447","0.97447","0.97447","0.96485","0.96485","0.96485"
"24","0.98043","0.98043","0.98043","0.97606","0.97606","0.97606","0.96557","0.96557","0.96557"
"25","0.98049","0.98049","0.98049","0.97702","0.97702","0.97702","0.96519","0.96519","0.96519"
"26","0.98106","0.98106","0.98106","0.97906","0.97906","0.97906","0.96486","0.96486","0.96486"
"27","0.98154","0.98154","0.98154","0.98069","0.98069","0.98069","0.96594","0.96594","0.96594"
"28","0.98225","0.98225","0.98225","0.981","0.981","0.981","0.96582","0.96582","0.96582"
"29","0.98293","0.98293","0.98293","0.98229","0.98229","0.98229","0.96558","0.96558","0.96558"
"30","0.98282","0.98282","0.98282","0.98192","0.98192","0.98192","0.96601","0.96601","0.96601"
"31","0.98314","0.98314","0.98314","0.98269","0.98269","0.98269","0.96607","0.96607","0.96607"
"32","0.9835","0.9835","0.9835","0.98351","0.98351","0.98351","0.96653","0.96653","0.96653"
"33","0.98287","0.98287","0.98287","0.98318","0.98318","0.98318","0.96626","0.96626","0.96626"
"34","0.98376","0.98376","0.98376","0.98454","0.98454","0.98454","0.96612","0.96612","0.96612"
"35","0.9825","0.9825","0.9825","0.98369","0.98369","0.98369","0.96575","0.96575","0.96575"
"36","0.98525","0.98525","0.98525","0.98492","0.98492","0.98492","0.96603","0.96603","0.96603"
"37","0.98532","0.98532","0.98532","0.98545","0.98545","0.98545","0.96605","0.96605","0.96605"
"38","0.98461","0.98461","0.98461","0.98475","0.98475","0.98475","0.96701","0.96701","0.96701"
"39","0.98527","0.98527","0.98527","0.98652","0.98652","0.98652","0.96695","0.96695","0.96695"
"40","0.98488","0.98488","0.98488","0.98705","0.98705","0.98705","0.9673","0.9673","0.9673"
"41","0.9854","0.9854","0.9854","0.98639","0.98639","0.98639","0.96627","0.96627","0.96627"
"42","0.98484","0.98484","0.98484","0.98676","0.98676","0.98676","0.96673","0.96673","0.96673"
"43","0.98506","0.98506","0.98506","0.98655","0.98655","0.98655","0.9669","0.9669","0.9669"
"44","0.98649","0.98649","0.98649","0.98711","0.98711","0.98711","0.96677","0.96677","0.96677"
"45","0.98512","0.98512","0.98512","0.98796","0.98796","0.98796","0.96743","0.96743","0.96743"
"46","0.98573","0.98573","0.98573","0.988","0.988","0.988","0.96769","0.96769","0.96769"
"47","0.98608","0.98608","0.98608","0.98834","0.98834","0.98834","0.96776","0.96776","0.96776"
"48","0.98628","0.98628","0.98628","0.98739","0.98739","0.98739","0.96814","0.96814","0.96814"
"49","0.98629","0.98629","0.98629","0.98774","0.98774","0.98774","0.96835","0.96835","0.96835"
"50","0.98691","0.98691","0.98691","0.98824","0.98824","0.98824","0.96827","0.96827","0.96827"
"51","0.98315","0.98315","0.98315","0.98837","0.98837","0.98837","0.96806","0.96806","0.96806"
"52","0.98653","0.98653","0.98653","0.98787","0.98787","0.98787","0.96818","0.96818","0.96818"
"53","0.98665","0.98665","0.98665","0.98853","0.98853","0.98853","0.96861","0.96861","0.96861"
"54","0.98746","0.98746","0.98746","0.98835","0.98835","0.98835","0.96814","0.96814","0.96814"
"55","0.98713","0.98713","0.98713","0.98885","0.98885","0.98885","0.96882","0.96882","0.96882"
"56","0.98501","0.98501","0.98501","0.98917","0.98917","0.98917","0.96867","0.96867","0.96867"
"57","0.98677","0.98677","0.98677","0.98936","0.98936","0.98936","0.96851","0.96851","0.96851"
"58","0.98669","0.98669","0.98669","0.98888","0.98888","0.98888","0.96909","0.96909","0.96909"
"59","0.98749","0.98749","0.98749","0.98867","0.98867","0.98867","0.96955","0.96955","0.96955"
"60","0.98774","0.98774","0.98774","0.98954","0.98954","0.98954","0.96871","0.96871","0.96871"
"61","0.9878","0.9878","0.9878","0.99014","0.99014","0.99014","0.96924","0.96924","0.96924"
"62","0.98711","0.98711","0.98711","0.98792","0.98792","0.98792","0.96892","0.96892","0.96892"
"63","0.98761","0.98761","0.98761","0.98947","0.98947","0.98947","0.96931","0.96931","0.96931"
"64","0.98694","0.98694","0.98694","0.98966","0.98966","0.98966","0.96926","0.96926","0.96926"
"65","0.98783","0.98783","0.98783","0.98965","0.98965","0.98965","0.96929","0.96929","0.96929"
"66","0.98643","0.98643","0.98643","0.98954","0.98954","0.98954","0.96932","0.96932","0.96932"
"67","0.98804","0.98804","0.98804","0.98977","0.98977","0.98977","0.96977","0.96977","0.96977"
"68","0.98671","0.98671","0.98671","0.98922","0.98922","0.98922","0.96968","0.96968","0.96968"
"69","0.98776","0.98776","0.98776","0.99054","0.99054","0.99054","0.96969","0.96969","0.96969"
"70","0.9872","0.9872","0.9872","0.99025","0.99025","0.99025","0.97017","0.97017","0.97017"
"71","0.98659","0.98659","0.98659","0.99012","0.99012","0.99012","0.97027","0.97027","0.97027"
"72","0.98717","0.98717","0.98717","0.99068","0.99068","0.99068","0.9702","0.9702","0.9702"
"73","0.98745","0.98745","0.98745","0.99001","0.99001","0.99001","0.97053","0.97053","0.97053"
"74","0.9878","0.9878","0.9878","0.9906","0.9906","0.9906","0.9708","0.9708","0.9708"
"75","0.98817","0.98817","0.98817","0.99064","0.99064","0.99064","0.97085","0.97085","0.97085"
"76","0.9887","0.9887","0.9887","0.99071","0.99071","0.99071","0.97097","0.97097","0.97097"
"77","0.98831","0.98831","0.98831","0.99103","0.99103","0.99103","0.97145","0.97145","0.97145"
"78","0.98809","0.98809","0.98809","0.99019","0.99019","0.99019","0.97141","0.97141","0.97141"
"79","0.98853","0.98853","0.98853","0.99108","0.99108","0.99108","0.97096","0.97096","0.97096"
"80","0.98852","0.98852","0.98852","0.99115","0.99115","0.99115","0.97152","0.97152","0.97152"
"81","0.98874","0.98874","0.98874","0.99091","0.99091","0.99091","0.97152","0.97152","0.97152"
"82","0.98837","0.98837","0.98837","0.99098","0.99098","0.99098","0.9713","0.9713","0.9713"
"83","0.98855","0.98855","0.98855","0.99116","0.99116","0.99116","0.97169","0.97169","0.97169"
"84","0.98872","0.98872","0.98872","0.99101","0.99101","0.99101","0.97186","0.97186","0.97186"
"85","0.98906","0.98906","0.98906","0.99125","0.99125","0.99125","0.97202","0.97202","0.97202"
"86","0.98894","0.98894","0.98894","0.99116","0.99116","0.99116","0.97191","0.97191","0.97191"
"87","0.98882","0.98882","0.98882","0.99128","0.99128","0.99128","0.97165","0.97165","0.97165"
"88","0.98887","0.98887","0.98887","0.99095","0.99095","0.99095","0.97169","0.97169","0.97169"
"89","0.98894","0.98894","0.98894","0.99062","0.99062","0.99062","0.97226","0.97226","0.97226"
"90","0.98898","0.98898","0.98898","0.99137","0.99137","0.99137","0.97109","0.97109","0.97109"
"91","0.98871","0.98871","0.98871","0.99123","0.99123","0.99123","0.97227","0.97227","0.97227"
"92","0.98929","0.98929","0.98929","0.99146","0.99146","0.99146","0.97252","0.97252","0.97252"
"93","0.98917","0.98917","0.98917","0.99121","0.99121","0.99121","0.97257","0.97257","0.97257"
"94","0.98924","0.98924","0.98924","0.99123","0.99123","0.99123","0.97256","0.97256","0.97256"
"95","0.98905","0.98905","0.98905","0.99133","0.99133","0.99133","0.97296","0.97296","0.97296"
"96","0.9891","0.9891","0.9891","0.99119","0.99119","0.99119","0.97344","0.97344","0.97344"
"97","0.98944","0.98944","0.98944","0.99135","0.99135","0.99135","0.97383","0.97383","0.97383"
"98","0.98936","0.98936","0.98936","0.99131","0.99131","0.99131","0.97307","0.97307","0.97307"
"99","0.98879","0.98879","0.98879","0.99144","0.99144","0.99144","0.97306","0.97306","0.97306"
"100","0.98915","0.98915","0.98915","0.99155","0.99155","0.99155","0.97399","0.97399","0.97399"
"101","0.98907","0.98907","0.98907","0.99147","0.99147","0.99147","0.97406","0.97406","0.97406"
"102","0.98895","0.98895","0.98895","0.99148","0.99148","0.99148","0.97441","0.97441","0.97441"
"103","0.98885","0.98885","0.98885","0.99159","0.99159","0.99159","0.97388","0.97388","0.97388"
"104","0.98947","0.98947","0.98947","0.99168","0.99168","0.99168","0.97425","0.97425","0.97425"
"105","0.98942","0.98942","0.98942","0.9912","0.9912","0.9912","0.97422","0.97422","0.97422"
"106","0.98953","0.98953","0.98953","0.99138","0.99138","0.99138","0.9744","0.9744","0.9744"
