"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"0","55.60534881979561","103.24174381955612","0.008544921875","0.0146484375","0.00244140625","2584","0.0004688741164259511","32","0.0004688741164259511","0","0.0004688741164259511","0.0004688741164259511","1:0.003734861641341791","1:88","1:0.010849467921657474","Yes"
"1","278.355021037918","219.51025655118823","0.00390625","0.0068359375","0.0009765625","2584","0.00018362478708695357","32","0.00018362478708695357","0","0.00018362478708695357","0.00018362478708695357","2:0.013740215961176278;0:0.003734861641341791","2:88;0:88","2:0.0024421220314357894;0:0.010849467921657474","Yes"
"2","282.7927447220921","249.96508128517104","0.001708984375","0.00341796875","0","2584","0.00009529687603273586","32","0.00009529687603273586","0","0.00009529687603273586","0.00009529687603273586","1:0.013740215961176278;3:0.0011933321049704126","1:88;3:88","1:0.0024421220314357894;3:0.0038830123452345544","Yes"
"3","324.3579702457686","241.61634077649236","0.0029296875","0.00341796875","0.00244140625","2584","0.0001085948275280522","32","0.0001085948275280522","0","0.0001085948275280522","0.0001085948275280522","16:0.0015146120575442734;2:0.0011933321049704126;4:0.0011502795314515257","16:88;2:88;4:88","16:0.0008977972547128399;2:0.0038830123452345544;4:0.0019561356437929056","Yes"
"4","320.90191960082024","281.667102825928","0.001220703125","0.00244140625","0","2584","0.00032452419367493565","32","0.00032452419367493565","0","0.00032452419367493565","0.00032452419367493565","3:0.0011502795314515257;5:0.002574203004444414","3:88;5:88","3:0.0019561356437929056;5:0.0025020255364045507","Yes"
"5","202.40272068728956","204.70553140150886","0.002685546875","0.00439453125","0.0009765625","2584","0.0001950765644580903","32","0.0001950765644580903","0","0.0001950765644580903","0.0001950765644580903","6:0.001748069966307858;4:0.002574203004444414","6:88;4:88","6:0.003449033264354223;4:0.0025020255364045507","Yes"
"6","137.75446208349197","169.85867334462955","0.007080078125","0.009765625","0.00439453125","2584","0.0004564403133105132","32","0.0004564403133105132","0","0.0004564403133105132","0.0004564403133105132","5:0.001748069966307858;7:0.0021277684177136713","5:88;7:88","5:0.003449033264354223;7:0.0045921008012395625","Yes"
"7","362.2012620911147","322.9614516197538","0.0078125","0.01416015625","0.00146484375","2584","0.0006145735169240101","32","0.0006145735169240101","0","0.0006145735169240101","0.0006145735169240101","17:0.0015660928370965777;6:0.0021277684177136713;8:0.004298445810936247","17:88;6:88;8:88","17:0.0018540277799463933;6:0.0045921008012395625;8:0.007343183818989352","Yes"
"8","195.3257452928246","284.45021189800786","0.003662109375","0.00537109375","0.001953125","2584","0.00018762379156026543","32","0.00018762379156026543","0","0.00018762379156026543","0.00018762379156026543","9:0.015240901236142301;7:0.004298445810936247","9:88;7:88","7:0.007343183818989352","Yes"
"9","271.339067433159","62.873958591119575","0.088134765625","0.1708984375","0.00537109375","2584","0.000586377793078117","32","0.000586377793078117","0","0.000586377793078117","0.000586377793078117","8:0.015240901236142301;10:0.002304336537779117","8:88;10:88","10:0.008178690419436918","Yes"
"10","332.2352473260359","373.74018921021434","0.00390625","0.0068359375","0.0009765625","2584","0.00013854718989636332","32","0.00013854718989636332","0","0.00013854718989636332","0.00013854718989636332","9:0.002304336537779117;11:0.001432028453433598","9:88;11:88","9:0.008178690419436918;11:0.0014991100386283485","Yes"
"11","321.6401700773685","505.79800416246474","0.00146484375","0.0029296875","0","2584","0.00021953291764142166","32","0.00021953291764142166","0","0.00021953291764142166","0.00021953291764142166","18:0.0017066965094515996;10:0.001432028453433598;12:0.0011767017755946463","18:88;10:88;12:88","18:0.0013446038229636692;10:0.0014991100386283485;12:0.0011363126700616732","Yes"
"12","320.7736352230702","452.82134213807325","0.02001953125","0.0400390625","0","2584","0.0006582823236259714","32","0.0006582823236259714","0","0.0006582823236259714","0.0006582823236259714","13:0.0014618085662917168;11:0.0011767017755946463","13:88;11:88","13:0.0013413164686394419;11:0.0011363126700616732","Yes"
"13","299.05747647242","280.6850643913814","0.001220703125","0.001953125","0.00048828125","2584","0.00024059948079733844","32","0.00024059948079733844","0","0.00024059948079733844","0.00024059948079733844","12:0.0014618085662917168;14:0.0013146043504648208","12:88;14:88","12:0.0013413164686394419;14:0.0016831318514843041","Yes"
"14","304.0664551287045","362.3614111175592","0.003173828125","0.00537109375","0.0009765625","2584","0.00033388985101399856","32","0.00033388985101399856","0","0.00033388985101399856","0.00033388985101399856","15:0.0012320603508120254;13:0.0013146043504648208","15:88;13:88","15:0.0014958772751983984;13:0.0016831318514843041","Yes"
"15","343.81874623358857","351.7100235412456","0.00634765625","0.00634765625","0.00634765625","2584","0.00022187690909908586","32","0.00022187690909908586","0","0.00022187690909908586","0.00022187690909908586","14:0.0012320603508120254;19:0.0012738187024460002","14:88;19:88","14:0.0014958772751983984;19:0.001507196438622127","Yes"
"16","299.55459345607767","352.5932720674346","0.00341796875","0.0048828125","0.001953125","2584","0.0002807093935004623","32","0.0002807093935004623","0","0.0002807093935004623","0.0002807093935004623","23:0.007479657380607602;3:0.0015146120575442734","23:88;3:88","23:0.006375486031513278;3:0.0008977972547128399","Yes"
"17","296.92545691197284","280.43544364331495","0.00244140625","0.00439453125","0.00048828125","2584","0.0002369476595982669","32","0.0002369476595982669","0","0.0002369476595982669","0.0002369476595982669","7:0.0015660928370965777;27:0.0014854022798926336","7:88;27:88","7:0.0018540277799463933;27:0.0019053376258886812","Yes"
