"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"0","226.82388249970134","246.46606486221015","0.02978515625","0.02392578125","0.03564453125","2280","0.00021510322748533828","32","0.00021510322748533828","0","0.00021510322748533828","0.00021510322748533828","1:0.0009237805836782298","1:68","1:0.0018929516864581997","Yes"
"1","379.39850779499307","406.34903698430276","0.00537109375","0.009765625","0.0009765625","2280","0.00020984582593873346","32","0.00020984582593873346","0","0.00020984582593873346","0.00020984582593873346","2:0.001592457269702141;0:0.0009237805836782298","2:68;0:68","2:0.0024043267643951705;0:0.0018929516864581997","Yes"
"2","346.8123355883302","105.88722489703937","0.008544921875","0.009765625","0.00732421875","2280","0.00013705429051926883","32","0.00013705429051926883","0","0.00013705429051926883","0.00013705429051926883","1:0.001592457269702141;3:0.0014080522341323176","1:68;3:68","1:0.0024043267643951705;3:0.0036078056564732564","Yes"
"3","272.4463894569696","329.39938990887975","0.004150390625","0.00830078125","0","2280","0.00044570568857582414","32","0.00044570568857582414","0","0.00044570568857582414","0.00044570568857582414","16:0.0018292316415650378;2:0.0014080522341323176;4:0.006290188429933646","16:68;2:68;4:68","16:0.0012917440770744137;2:0.0036078056564732564;4:0.002663127304818269","Yes"
"4","317.53367842841857","89.76871104094668","0.008544921875","0.013671875","0.00341796875","2280","0.00027246865978021586","32","0.00027246865978021586","0","0.00027246865978021586","0.00027246865978021586","3:0.006290188429933646;5:0.0015526271584259677","3:68;5:68","3:0.002663127304818269;5:0.001955832091374371","Yes"
"5","247.34645980877468","136.55996436421637","0.00341796875","0.00634765625","0.00048828125","2280","0.00018020392988047493","32","0.00018020392988047493","0","0.00018020392988047493","0.00018020392988047493","6:0.0025224253443906774;4:0.0015526271584259677","6:68;4:68","6:0.0038334748687902653;4:0.001955832091374371","Yes"
"6","240.28511851553196","135.62668237522837","0.007080078125","0.00830078125","0.005859375","2280","0.00023391400687052514","32","0.00023391400687052514","0","0.00023391400687052514","0.00023391400687052514","5:0.0025224253443906774;7:0.009053857831148537","5:68;7:80","5:0.0038334748687902653;7:0.010197174942128878","Yes"
"7","351.6784199311278","137.40705279752288","0.01171875","0.0146484375","0.0087890625","2280","0.00019983977883344692","32","0.00019983977883344692","0","0.00019983977883344692","0.00019983977883344692","17:0.007442059180111538;6:0.009053857831148537;8:0.006577967506289223","17:68;6:80;8:68","17:0.004247891396614273;6:0.010197174942128878;8:0.0038081261692296253","Yes"
"8","264.20330295795634","62.9771017197991","0.112060546875","0.06982421875","0.154296875","2280","0.00046724717921451135","32","0.00046724717921451135","0","0.00046724717921451135","0.00046724717921451135","9:0.006608605746204588;7:0.006577967506289223","9:68;7:68","9:0.009486668672469917;7:0.0038081261692296253","Yes"
"9","13.038173906964126","22.972509393696708","0.037353515625","0.0703125","0.00439453125","2280","0.0015455989499023424","32","0.0015455989499023424","0","0.0015455989499023424","0.0015455989499023424","8:0.006608605746204588;10:0.005961263779508369","8:68;10:68","8:0.009486668672469917;10:0.009407417441521682","Yes"
"10","330.95660465253496","32.95921982950924","0.0048828125","0.0078125","0.001953125","2280","0.0001704040440132407","32","0.0001704040440132407","0","0.0001704040440132407","0.0001704040440132407","9:0.005961263779508369;11:0.001275980437638935","9:68;11:68","9:0.009407417441521682;11:0.0014812558582932844","Yes"
"11","319.9081693268869","72.19122201014629","0.00634765625","0.01123046875","0.00146484375","2280","0.0002998251946767372","32","0.0002998251946767372","0","0.0002998251946767372","0.0002998251946767372","18:0.0017340203890316153;10:0.001275980437638935;12:0.0013208489995379935","18:68;10:68;12:68","18:0.00268469334304991;10:0.0014812558582932844;12:0.0013121446560347971","Yes"
"12","190.2841764360496","200.98083636893844","0.088623046875","0.0615234375","0.11572265625","2280","0.0003904032076213729","32","0.0003904032076213729","0","0.0003904032076213729","0.0003904032076213729","13:0.0019775615245132827;11:0.0013208489995379935","13:68;11:68","13:0.0019098302004203205;11:0.0013121446560347971","Yes"
"13","466.53495126637296","586.7291868064333","0.005615234375","0.00830078125","0.0029296875","2280","0.0002723810294451591","32","0.0002723810294451591","0","0.0002723810294451591","0.0002723810294451591","12:0.0019775615245132827;14:0.0011028782333618592","12:68;14:68","12:0.0019098302004203205;14:0.0035245519953532034","Yes"
"14","312.89402006688715","381.50474914693024","0.021728515625","0.02294921875","0.0205078125","2280","0.00023337298007219162","32","0.00023337298007219162","0","0.00023337298007219162","0.00023337298007219162","15:0.0021781823183439353;13:0.0011028782333618592","15:68;13:68","15:0.002137377014601566;13:0.0035245519953532034","Yes"
"15","250.16328735504723","259.4726041430965","0.00927734375","0.01416015625","0.00439453125","2280","0.00015243416486592051","32","0.00015243416486592051","0","0.00015243416486592051","0.00015243416486592051","14:0.0021781823183439353;19:0.00437303583264842","14:68;19:68","14:0.002137377014601566;19:0.003897992329198491","Yes"
"16","370.3179507241875","345.93371311855424","0.010498046875","0.0205078125","0.00048828125","2280","0.00018341379198457485","32","0.00018341379198457485","0","0.00018341379198457485","0.00018341379198457485","23:0.0013350383770060759;3:0.0018292316415650378","23:68;3:68","23:0.0014546068903806553;3:0.0012917440770744137","Yes"
